ADUA,PAIS,COD_PAI4,COD_SAL,VIA,BANDERA,MODAD,DPTO2,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
3,149,CAN,BOG,4,149,198,11,33,KG,4.0,8.0,6.0,27.0,4.0,8.0,26.0,82364.0,36.0
35,211,CHL,BUN,1,351,198,5,11,U,251560.0,13806.0,97.0,12552.0,15.0,48402.0,4.0,151817354.0,6.0
37,239,ECU,IPI,3,169,198,11,33,KG,313.0,92.0,345.0,31.0,313.0,92.0,12861.0,96.0,40193110.0
3,239,ECU,BOG,4,169,198,11,11,U,146.0,49.0,21.0,44.0,14.0,1411.0,82.0,4588062.0,4.0
37,239,ECU,IPI,3,169,198,11,82,M2,80.0,3.0,5.0,28.0,4.0,93.0,150.0,46.0,475080.0
90,249,USA,MDE,4,211,198,5,11,U,2910.0,348.0,330.0,6.0,1047.0,9.0,3305939.0,23.0,0.0
3,589,PER,BUN,1,628,198,25,11,U,1846.0,4.0,9.0,3.0,69.0,57.0,63.0,180270.0,67.0
3,647,DOM,CTG,1,90,198,25,33,KG,2515.0,5.0,2769.0,14.0,2515.0,5.0,12217.0,55.0,38334517.0
37,239,ECU,IPI,3,169,198,11,33,KG,14640.0,16370.0,76.0,14640.0,17148.0,53950008.0,72.0,0.0,0.0
87,580,PAN,BAQ,1,580,198,8,11,U,5.0,5.0,3.0,5.0,40.0,126023.0,2.0,0.0,0.0
3,603,POL,BOG,4,827,198,11,11,U,15500.0,537.0,59.0,474.0,2315.0,7260974.0,35.0,0.0,0.0
88,249,USA,CLO,4,169,198,76,11,U,47.0,4.0,88.0,3.0,6.0,50.0,29.0,163443.0,0.0
35,211,CHL,BUN,1,607,198,76,33,KG,2144.0,11.0,3618.0,25.0,2144.0,11.0,16381.0,6.0,53240363.0
3,149,CAN,BOG,4,253,198,11,11,U,28290.0,1575.0,58.0,1372.0,5506.0,3.0,17386252.0,37.0,0.0
35,589,PER,BUN,1,628,198,11,11,U,792260.0,3986.0,5.0,3464.0,21.0,59816.0,57.0,188511322.0,2.0
48,317,GTM,CTG,1,741,198,25,11,U,128.0,22400.0,91.0,19769.0,7.0,73389.0,9.0,229015058.0,7.0
37,239,ECU,IPI,3,169,198,5,33,KG,610.0,3.0,617.0,93.0,610.0,3.0,1890.0,5954596.0,2.0
3,580,PAN,BOG,4,23,198,11,11,U,21750.0,1148.0,21.0,580.0,3145.0,5.0,9865829.0,29.0,3145.0
48,580,PAN,CTG,1,23,198,5,11,U,546.0,1770.0,66.0,1660.0,9907.0,22.0,31140572.0,4.0,0.0
